cam1_X00_in,cam1_Y00_in,cam1_Z00_in,cam1_X01_in,cam1_Y01_in,cam1_Z01_in,cam1_X02_in,cam1_Y02_in,cam1_Z02_in,cam1_X03_in,cam1_Y03_in,cam1_Z03_in,cam1_X04_in,cam1_Y04_in,cam1_Z04_in,cam1_X05_in,cam1_Y05_in,cam1_Z05_in,cam1_X06_in,cam1_Y06_in,cam1_Z06_in,cam1_X07_in,cam1_Y07_in,cam1_Z07_in,cam1_X08_in,cam1_Y08_in,cam1_Z08_in,cam1_X09_in,cam1_Y09_in,cam1_Z09_in,cam1_X10_in,cam1_Y10_in,cam1_Z10_in,cam1_X11_in,cam1_Y11_in,cam1_Z11_in,cam1_X12_in,cam1_Y12_in,cam1_Z12_in,cam1_X13_in,cam1_Y13_in,cam1_Z13_in,cam1_X14_in,cam1_Y14_in,cam1_Z14_in,cam1_X15_in,cam1_Y15_in,cam1_Z15_in,cam1_X16_in,cam1_Y16_in,cam1_Z16_in,cam1_X17_in,cam1_Y17_in,cam1_Z17_in,cam1_X18_in,cam1_Y18_in,cam1_Z18_in,cam1_X19_in,cam1_Y19_in,cam1_Z19_in,cam1_X20_in,cam1_Y20_in,cam1_Z20_in,cam2_X00_in,cam2_Y00_in,cam2_Z00_in,cam2_X01_in,cam2_Y01_in,cam2_Z01_in,cam2_X02_in,cam2_Y02_in,cam2_Z02_in,cam2_X03_in,cam2_Y03_in,cam2_Z03_in,cam2_X04_in,cam2_Y04_in,cam2_Z04_in,cam2_X05_in,cam2_Y05_in,cam2_Z05_in,cam2_X06_in,cam2_Y06_in,cam2_Z06_in,cam2_X07_in,cam2_Y07_in,cam2_Z07_in,cam2_X08_in,cam2_Y08_in,cam2_Z08_in,cam2_X09_in,cam2_Y09_in,cam2_Z09_in,cam2_X10_in,cam2_Y10_in,cam2_Z10_in,cam2_X11_in,cam2_Y11_in,cam2_Z11_in,cam2_X12_in,cam2_Y12_in,cam2_Z12_in,cam2_X13_in,cam2_Y13_in,cam2_Z13_in,cam2_X14_in,cam2_Y14_in,cam2_Z14_in,cam2_X15_in,cam2_Y15_in,cam2_Z15_in,cam2_X16_in,cam2_Y16_in,cam2_Z16_in,cam2_X17_in,cam2_Y17_in,cam2_Z17_in,cam2_X18_in,cam2_Y18_in,cam2_Z18_in,cam2_X19_in,cam2_Y19_in,cam2_Z19_in,cam2_X20_in,cam2_Y20_in,cam2_Z20_in,X00_out,Y00_out,Z00_out,X01_out,Y01_out,Z01_out,X02_out,Y02_out,Z02_out,X03_out,Y03_out,Z03_out,X04_out,Y04_out,Z04_out,X05_out,Y05_out,Z05_out,X06_out,Y06_out,Z06_out,X07_out,Y07_out,Z07_out,X08_out,Y08_out,Z08_out,X09_out,Y09_out,Z09_out,X10_out,Y10_out,Z10_out,X11_out,Y11_out,Z11_out,X12_out,Y12_out,Z12_out,X13_out,Y13_out,Z13_out,X14_out,Y14_out,Z14_out,X15_out,Y15_out,Z15_out,X16_out,Y16_out,Z16_out,X17_out,Y17_out,Z17_out,X18_out,Y18_out,Z18_out,X19_out,Y19_out,Z19_out,X20_out,Y20_out,Z20_out
562.284123,66.748296,686.317444,525.407561,40.494263,700.720764,471.916614,27.305018,711.196655,440.247967,14.461848,742.627869,414.902489,-6.205205,749.449280,442.366842,37.587045,708.471863,374.760743,54.409551,701.360474,361.023206,70.983533,692.236633,356.438680,81.049301,682.176147,435.610073,54.851885,696.754761,351.063345,56.415759,697.576111,297.876540,56.780926,694.084595,2962.476294,638.800448,7941.000488,441.039958,76.354678,687.504761,362.927180,76.182314,688.035400,312.205296,75.696337,684.505371,278.814694,75.062633,693.717590,453.601912,101.172889,680.090698,397.941393,99.614296,672.107910,360.131184,97.829697,662.645020,332.329248,98.384581,663.103699,294.829541,69.622932,615.316465,304.915985,57.695911,635.327241,358.028836,36.311291,639.371986,342.684185,13.602831,642.850718,331.622769,-11.286600,638.884049,332.645607,35.794014,606.979989,316.087645,48.376015,628.752171,293.702596,64.857346,653.319014,288.446027,81.664579,672.763328,254.509437,49.143704,599.230204,249.548573,51.261655,599.874530,251.107010,49.690843,599.323223,250.168933,51.283569,601.075259,288.533500,69.307615,579.905544,272.826617,71.930888,572.607897,266.214199,68.703862,566.547954,260.100663,66.876456,560.196903,314.052455,89.267881,567.804621,278.666316,85.689716,554.749358,290.201724,86.414349,535.640842,285.378101,85.426062,520.771258,0.000000,0.000000,-0.000000,9.043331,16.710466,26.147963,11.020339,51.646400,44.055558,9.922617,84.360255,56.367544,-0.334219,108.133602,69.376841,0.000000,84.773879,22.708823,29.167812,108.235788,17.124404,53.362998,99.395313,12.386800,72.867374,87.645980,8.392804,0.000000,89.944520,-0.000000,15.790017,135.396645,-3.209540,24.450415,164.108649,-3.721870,32.579568,185.511960,-4.147247,1.288881,86.961013,-21.206357,10.738948,132.197454,-27.184248,15.128986,161.237729,-28.682349,17.825547,183.189313,-29.961943,5.310380,78.797958,-40.490858,3.708135,113.758194,-47.785590,0.976788,137.130813,-52.422243,-1.355965,156.941602,-56.981399
580.427383,64.045766,647.041199,534.287705,25.660807,636.378296,476.425245,4.501789,622.253052,430.057935,2.782374,620.206055,397.426575,12.277632,620.466980,472.859562,-4.559350,622.627869,399.462305,-19.957734,620.211304,360.188705,-20.950342,624.388367,331.768422,-17.582157,631.765259,464.532441,20.767218,617.147705,387.064789,6.243850,623.285034,348.499591,9.862894,634.077515,327.163082,16.909459,647.785889,459.333252,49.067827,617.843201,380.330208,35.043216,614.990356,346.535380,36.589938,627.597351,328.959287,40.508011,640.840942,456.885944,78.152472,622.427063,390.937415,69.473575,622.006958,359.311293,66.895075,630.412354,331.828161,66.024502,630.965759,381.693288,65.762623,564.010663,377.757495,42.672020,568.090172,356.937095,18.686531,565.188884,337.076455,6.225125,561.534110,321.235207,-3.549496,549.619878,329.398732,4.383286,517.905066,313.993913,-10.519065,488.348348,307.836411,-12.328066,496.899627,298.922032,-9.805506,515.952860,300.307880,22.670024,518.622051,300.264906,10.172545,487.645293,297.213768,12.786507,510.397053,297.059342,16.496562,530.020836,286.283019,41.702320,519.812706,300.242951,32.233136,481.055771,295.779533,33.352078,501.527532,289.965752,36.855061,522.933227,295.684145,64.589707,518.254695,296.979362,61.307088,492.285057,294.613711,58.444380,502.869982,289.437064,57.244817,518.825941,-0.000000,-0.000000,0.000000,10.630186,24.259094,21.604860,21.015983,57.660794,30.943080,32.061757,85.576444,25.977747,36.378471,109.427276,15.265970,-0.000000,100.352408,21.833446,9.141823,150.029669,12.237745,25.733788,161.075822,8.690865,43.834472,163.832957,5.266075,-0.000000,98.082315,0.000000,13.411141,148.500333,-10.020426,37.569876,151.772013,-13.821671,55.956670,150.916120,-17.916388,2.270147,91.331787,-21.693577,13.028354,142.844850,-32.199004,34.769547,146.916559,-34.770973,51.726883,144.617148,-36.935458,6.359894,81.900239,-43.808258,16.985757,122.701085,-54.153925,33.154181,131.608670,-54.834790,48.689641,134.824138,-55.388161
579.529967,76.183394,501.938507,567.854907,29.274509,515.032532,534.037269,-7.459503,524.502258,484.094787,-26.931153,524.995056,446.332037,-43.055259,527.786560,476.474242,21.059750,496.652893,390.846017,4.450033,479.597931,346.824869,-4.270076,479.318237,313.646757,-10.097450,482.608032,459.306137,49.814803,491.414001,377.939333,37.751891,493.667145,333.379578,32.873169,506.641724,300.335163,30.539341,519.138550,457.193480,77.620770,494.263580,379.460130,71.231466,493.595276,336.577125,69.110367,504.156311,304.075480,67.509725,511.840057,461.678315,103.299761,499.143707,398.590245,107.402428,502.560089,361.739086,110.154313,506.558838,333.431745,113.206660,512.685913,429.603206,71.319578,405.711688,416.993383,37.626634,408.747889,408.782592,8.106026,397.182449,399.321267,-13.486280,386.684589,378.188907,-32.997305,383.328416,382.489834,21.779887,353.983590,344.785044,8.059914,341.721882,338.773248,-0.835476,327.569983,315.906173,-8.422852,326.060075,371.727811,43.132395,353.931635,298.575400,33.421536,364.935950,298.823308,29.310397,362.223333,299.693124,25.630557,365.793550,370.158757,65.402189,357.453195,328.116976,61.099297,351.352096,328.732021,63.025744,346.149910,325.418767,63.313860,351.728319,371.930234,87.762927,365.165046,346.000753,91.291963,353.285402,331.401824,96.943519,353.993934,326.380571,101.999939,356.960666,-0.000000,0.000000,-0.000000,7.529032,19.815808,31.030691,13.907669,51.780894,50.997128,21.558947,81.153263,59.257100,27.710314,104.894368,66.782165,-0.000000,86.318235,22.408916,8.016866,126.241765,21.679984,14.837267,149.175590,21.086307,20.573915,167.497122,20.249978,-0.000000,86.363972,-0.000000,12.808291,126.946103,-5.487279,27.880837,145.963023,-8.696995,42.298982,158.643766,-11.318872,1.113164,80.514322,-20.574138,11.988013,117.989377,-29.002893,25.059253,135.994707,-35.162066,38.144356,146.856990,-39.250499,3.120657,69.437130,-39.188597,11.454011,101.125915,-52.172514,19.981506,115.285127,-61.180417,29.601495,124.793469,-68.394529
577.823963,11.663517,636.384766,505.470068,-5.213166,627.227600,455.196814,-24.630089,627.136780,417.073114,-37.244157,628.360718,385.603405,-48.086086,636.266296,468.086700,-62.033401,645.801880,403.980945,-84.995079,642.511597,357.905600,-90.041917,645.789551,318.790848,-87.852588,647.525024,468.592554,-57.343882,644.421570,398.230843,-85.821141,642.364197,350.033601,-89.018374,645.874390,310.956096,-85.733979,647.738403,464.470001,-40.711588,638.134644,397.374384,-68.112297,640.039368,355.474870,-74.071095,644.032043,320.777911,-75.536671,644.341797,452.142296,-12.505782,623.191650,414.407739,-28.742596,625.723694,385.122461,-37.095230,632.014954,360.310836,-43.504858,641.909363,366.994788,19.937861,552.559223,368.826364,8.581975,572.078348,358.207493,-8.326543,587.568784,341.671668,-18.331452,596.005252,326.838116,-25.611018,593.941471,336.298593,-46.531833,557.443686,332.725991,-72.110543,549.133087,336.521074,-57.811462,554.683338,339.764825,-41.027625,560.845296,335.328749,-38.842739,536.873392,279.987769,-63.568820,535.158699,321.010293,-56.975301,529.094544,331.966003,-45.622928,530.816347,333.972130,-25.400205,521.278401,278.485227,-47.777999,519.166356,317.347987,-45.057533,509.049961,323.543167,-37.938487,511.504487,353.407468,-6.743793,502.981778,313.667490,-20.791356,496.687229,305.803109,-19.061987,496.879541,315.398007,-17.904136,496.077691,0.000000,-0.000000,-0.000000,17.255981,24.665878,13.693733,27.327579,51.856268,25.111766,36.465108,73.663346,29.038416,44.595372,97.420285,23.282368,0.000000,89.003831,18.333689,7.761723,130.095330,14.588483,30.653476,143.565636,9.179688,53.124547,153.368844,1.551509,0.000000,92.034359,-0.000000,5.961914,139.089804,-5.257821,28.126017,152.528579,-10.009688,49.192809,163.823146,-17.718128,5.342985,88.607325,-18.186758,11.868856,133.575341,-24.530287,28.919109,148.194710,-28.753382,44.413132,158.060698,-31.422360,16.046761,80.229865,-37.953770,18.364208,108.882722,-45.832931,28.305214,122.569702,-48.822037,38.449418,132.872063,-48.623071
584.899827,90.915594,665.693420,529.181563,61.893231,657.165283,473.323684,41.011016,647.548584,429.111342,34.465214,645.561768,393.833998,36.951345,643.591858,459.057099,27.313606,647.433167,383.123438,7.057500,652.081116,338.208761,7.627141,658.951599,3781.886847,154.450794,8256.001953,456.193860,42.013581,644.708191,371.630592,27.867226,648.956970,323.065826,37.530165,654.508728,285.140435,48.307157,646.869202,453.744065,63.270665,639.902954,372.413882,52.239576,636.399963,330.269923,62.987251,642.808716,303.827227,73.505330,645.753418,449.301863,89.733734,631.750366,387.132852,85.277435,625.781982,351.976180,89.871064,626.807556,328.117778,96.832023,631.815369,443.198271,110.137416,583.336434,363.626082,80.543613,602.970720,353.951380,63.558712,602.178915,346.583977,50.305471,595.050652,320.973391,30.899820,586.036062,351.899811,54.494089,544.926777,288.791777,29.475721,539.544251,287.814437,32.028518,538.810642,289.336458,36.450959,543.119677,344.769170,69.993797,531.360142,269.957796,48.693315,522.343930,269.246376,50.511682,525.927018,269.906131,53.581310,530.980756,357.920181,87.030952,518.958912,277.271381,65.005795,513.058640,279.444453,68.777795,510.666447,276.187860,73.445474,514.560370,4671.490786,739.566548,-599.579687,288.374106,83.789675,511.218805,290.622093,87.026134,504.919379,290.956504,91.054598,503.940893,0.000000,0.000000,0.000000,10.926462,21.973754,20.974214,20.223270,52.717898,32.754393,28.301634,87.427183,32.702865,32.045759,112.981597,32.761811,0.000000,104.676301,17.958622,13.073556,156.058546,22.887139,29.768899,175.157126,18.302124,45.609159,187.541448,13.604617,0.000000,109.147753,0.000000,13.712309,163.711263,-1.848747,34.269987,179.397764,-6.859063,50.598985,188.775035,-12.254617,2.087954,108.333969,-17.534436,14.367071,158.004328,-19.639278,31.188089,173.054388,-26.557986,44.221470,180.123668,-32.466551,6.278440,100.655534,-34.081060,15.037054,140.378958,-38.238490,26.143370,154.869158,-43.470293,36.601662,163.935422,-48.292467
590.669856,56.474468,480.254852,468.974165,47.733356,447.414276,411.627736,13.912897,443.153046,416.690089,-19.102242,482.608307,439.965794,-58.521635,533.605713,442.509084,-26.823351,470.382965,402.899139,-22.167895,488.721252,361.996274,1.019785,478.753937,344.553384,25.245782,481.867981,465.817347,-25.615584,470.640045,408.661171,-16.066982,478.345367,368.811850,11.495412,471.682617,352.557144,39.355078,476.663330,486.782455,-13.302051,467.365692,418.721055,-5.862773,455.303101,384.431591,14.079820,454.229675,364.018031,34.919297,456.125854,502.788811,8.763165,459.849884,445.883453,12.924703,443.299103,415.945791,21.533031,437.058594,395.558545,32.204137,437.228088,413.467854,68.368915,378.674350,404.983555,43.219582,399.980856,402.575972,10.024782,399.759499,378.367444,-16.718487,397.838541,378.386431,-43.709161,388.416153,387.669578,-7.027597,346.901144,375.451934,-16.283018,328.613160,348.662907,1.659939,333.818774,334.004968,18.876456,339.715097,349.406416,3.892976,342.975449,368.085933,-12.681137,302.749588,351.146220,9.398805,303.531170,334.906185,28.554188,315.015646,336.162834,15.692715,333.197896,362.709679,-1.080515,290.214164,353.521994,17.369140,286.611969,346.451596,34.355214,292.534221,333.520094,28.333269,323.738014,355.630646,14.537697,285.409307,356.189286,24.080722,274.557904,354.535541,34.675690,273.005779,-0.000000,0.000000,0.000000,13.835262,22.731615,22.617450,11.959564,60.234848,38.605997,5.535797,91.956207,45.184104,-5.223909,118.045870,51.822332,0.000000,98.904253,16.366891,18.350903,122.234233,12.308631,41.321063,123.076978,6.456060,60.087181,118.203956,2.093037,-0.000000,98.851980,0.000000,18.987233,126.148641,-4.725061,43.990398,124.505388,-11.069238,63.523756,116.859734,-14.082638,2.405930,93.377416,-14.919740,17.363054,119.076366,-18.855907,38.719432,119.542114,-23.644882,55.834131,114.100219,-25.072838,6.955588,83.581950,-27.927232,16.991365,105.510413,-32.964075,29.897224,109.422871,-36.888151,41.867825,108.947081,-38.060099
422.564065,81.300947,650.830933,420.024244,61.342658,636.728271,399.681919,52.529966,626.631348,366.726478,49.608370,612.582642,323.926609,47.089915,600.990662,328.657852,89.657345,635.757568,262.788929,98.024570,626.067627,233.374486,79.973062,632.034790,216.938752,58.329094,633.054443,311.255761,89.728444,635.102600,242.591835,97.987383,628.994934,214.138412,73.791908,633.791321,2269.386744,520.785425,6981.525391,300.765192,84.146765,635.287781,243.631935,91.498077,630.698059,218.208759,69.545583,633.184082,2329.905020,502.589194,7027.961426,297.363168,77.585738,636.400513,256.549610,80.756983,635.683838,232.093036,64.939110,631.992798,2477.487054,521.178039,7027.958008,228.054208,49.482857,597.691655,224.674844,34.792591,565.886493,219.410187,34.497639,532.891759,219.207415,36.512754,508.200539,294.326125,44.035074,457.249040,222.705176,72.102632,524.685507,226.446257,77.938940,501.541667,224.625955,63.002020,497.233332,220.871686,46.217187,499.711646,220.611192,81.431412,543.801883,221.258712,82.657813,529.563917,216.974668,53.168328,531.638335,219.214770,32.892668,535.602283,228.855910,84.712042,565.109988,223.147398,81.875443,555.596104,224.338745,53.124690,556.839720,224.800770,33.450686,560.993488,228.838511,79.764962,589.560032,225.577350,70.418597,583.435742,224.277186,50.299753,583.484642,225.259589,37.319779,584.883553,0.000000,-0.000000,-0.000000,12.505938,17.518627,29.073032,16.414273,46.522656,46.888858,19.318990,71.398550,53.878488,24.416253,97.331523,55.000241,0.000000,88.040202,16.629001,6.952413,124.589823,9.524747,26.839994,136.598853,9.529040,45.201495,139.820649,11.178286,0.000000,87.198925,-0.000000,11.074364,122.880676,-11.110860,39.952381,131.641518,-9.121018,60.727221,129.592711,-4.824168,4.314636,78.318403,-15.559433,15.505096,110.814533,-23.900162,43.140932,118.303743,-21.264105,63.417146,117.403880,-16.965282,12.013086,68.184309,-27.830441,24.359905,90.545454,-32.301736,45.186494,99.498577,-30.416407,60.647204,101.307530,-27.185752
557.053998,80.095428,538.903748,531.580102,39.319827,549.098450,487.114025,13.017435,567.409790,422.200174,8.997750,563.353271,1142.566341,10.303524,1718.982788,460.047330,36.524193,530.928345,367.176272,34.818307,518.598389,322.197041,34.937247,525.250549,287.324011,35.255314,530.738037,451.860989,68.181256,521.114136,357.362222,64.489695,514.477905,308.259398,64.959362,525.779602,273.240763,64.698405,535.138794,454.733620,96.837008,524.493164,367.302832,95.801466,519.484192,322.084050,98.831975,535.249634,286.510890,98.945810,544.592590,459.083786,121.195955,528.373901,391.833188,125.636357,528.906982,355.424788,129.311484,536.636108,323.826701,130.829813,538.778992,390.248560,70.051958,457.590974,370.586001,42.565120,464.699368,370.752424,23.300095,451.285264,349.566359,15.435986,443.472990,338.687915,8.206411,429.566872,366.969293,38.814361,390.902170,336.581779,33.363083,374.943225,337.299634,34.073481,364.219176,304.830636,35.008609,388.374485,365.769075,62.808959,387.251369,302.266570,58.575533,383.169890,302.175063,61.417914,374.854334,291.342803,62.154335,390.086741,356.099098,82.631931,397.063595,312.131902,83.730801,385.511315,313.438961,89.555843,383.540023,298.899620,88.029208,405.920297,363.437229,102.798349,405.011547,323.662159,107.886824,394.654758,331.738254,116.052087,385.046913,318.580561,114.562957,399.958648,-0.000000,0.000000,-0.000000,8.912761,17.167328,29.445281,21.166560,50.763000,46.299032,34.199857,82.866529,46.974076,42.623859,110.028582,48.449870,-0.000000,84.348012,24.059619,16.722764,126.952737,20.978884,30.343608,146.895822,18.167941,47.019326,155.728108,15.885313,-0.000000,83.596645,-0.000000,17.424393,130.133439,-3.910623,34.262179,150.900784,-7.110470,52.711440,160.012485,-8.655265,3.036912,77.895069,-20.631838,19.070115,120.373864,-26.619578,37.980569,138.484808,-31.082379,58.401483,145.420360,-32.127991,7.393239,67.582918,-39.037227,19.683295,104.465735,-47.542409,31.745979,119.484949,-52.424373,46.349890,126.419160,-54.380182
581.828433,80.909061,673.110596,517.826167,71.058043,667.288635,443.704692,76.014663,649.835266,407.971072,94.105632,649.460449,388.350795,114.691374,642.832397,1804.768612,306.523490,2876.036621,356.315225,103.328497,651.670166,319.460218,123.570080,637.693542,294.933520,141.067406,634.536499,416.868708,85.357259,649.712158,347.583054,111.314347,640.112976,311.419362,129.129902,637.163452,285.122955,144.425562,633.474976,434.645683,105.793065,645.482483,368.731438,129.797984,633.070740,339.425068,147.778970,630.122925,322.419274,163.395261,634.605103,458.745245,129.332339,640.641113,411.075366,151.055790,631.200317,388.545193,167.505471,628.439453,368.861809,181.875491,621.190430,457.437067,74.877054,598.613637,373.383774,77.129678,582.784166,331.410781,87.457132,568.614850,311.570018,107.055907,566.996536,288.766091,122.608228,572.466607,329.956895,79.390167,528.904712,292.091403,105.534977,512.388803,274.408839,123.014353,503.046622,257.791636,136.211047,497.201741,333.025144,77.035273,538.895101,292.969322,113.308593,524.638094,280.276663,138.391386,511.122326,276.869852,160.979679,498.828502,343.752455,77.892171,556.975948,293.607100,111.222331,555.465477,280.274831,133.848135,552.243497,266.449873,150.318620,550.625251,362.425913,81.122605,579.721930,342.001263,112.502977,587.864096,300.818985,122.175614,598.721549,294.096463,133.048568,602.915949,-0.000000,-0.000000,-0.000000,2.417662,51.681868,1.458267,4.295030,93.770096,-8.018288,3.749816,117.992079,-27.039655,0.224706,124.173738,-47.045104,0.000000,138.146858,7.017274,-7.530928,174.317963,-17.424885,-12.234000,193.861086,-33.333103,-15.502725,209.719792,-45.747871,0.000000,127.247011,-0.000000,-4.995930,169.761338,-28.428988,-9.653225,193.526415,-45.233035,-13.899044,210.021762,-59.040804,-0.550891,106.633014,-11.814195,-2.575416,141.310845,-43.162766,-5.491253,158.482756,-62.625020,-8.175746,170.632760,-77.266567,-1.271888,78.867701,-27.516631,0.200233,97.206913,-59.388032,1.191992,102.832683,-79.244448,1.344230,109.956664,-94.828418
466.036421,66.694526,544.701904,467.376104,24.196366,546.834167,447.153386,-22.457095,555.461365,405.255654,-42.661908,564.104980,374.222693,-31.320700,565.194580,392.569576,-11.822696,528.523315,356.013891,-18.346847,558.819336,364.262440,-11.225207,548.429260,375.565556,-8.841306,534.230225,369.281888,15.937901,522.141357,335.575376,2.866133,555.451721,345.202423,9.893414,544.556946,356.808146,15.160867,529.963135,356.311797,41.589025,527.157654,324.105822,27.839819,554.918335,336.375185,33.349453,543.796509,349.422508,37.428024,530.622437,348.408806,66.626285,534.321655,319.648691,50.053635,547.272766,332.708550,55.320491,539.234863,346.311628,60.215767,533.217651,363.233794,61.362687,455.485835,339.176899,26.752257,461.806772,333.480834,-5.908818,457.600546,335.882147,-28.394777,449.238140,331.531081,-19.811859,436.432381,337.314966,-3.488380,382.361427,327.473684,-14.907310,427.003398,327.309512,-3.636789,444.344315,321.788893,4.248611,444.276165,322.151952,15.955673,380.963858,319.880611,4.480315,432.381947,320.307368,18.090653,446.929360,313.484888,26.136735,444.595186,316.064843,36.411397,384.322166,311.485518,23.947223,433.436096,311.122812,33.897634,447.080902,308.391442,40.356523,444.470954,307.354607,56.368826,394.578617,304.323490,45.784312,428.534245,306.376290,49.820393,442.520959,307.852428,55.180265,442.666328,0.000000,0.000000,0.000000,4.801439,18.567334,29.591378,16.484943,47.761350,52.786201,31.381953,74.654832,55.901413,34.660933,86.642853,37.027794,0.000000,92.407269,22.695561,33.873788,91.853763,25.107475,34.223398,75.327807,25.548761,25.756284,68.137459,26.085664,0.000000,91.365593,0.000000,38.192664,87.424898,6.062857,36.867426,71.300202,4.625405,26.768591,64.167278,3.480149,2.591964,85.815395,-20.213928,38.146721,82.675110,-13.805558,35.694898,67.025237,-13.222446,26.132629,60.581931,-13.561031,5.983061,76.939748,-38.463466,32.182603,76.892099,-31.882453,30.890406,62.308936,-29.296516,24.396558,54.414512,-29.267399
